PIB Total - variação % - Média - Trimestral - Período de 31/12/2015 a 29/12/2017 para jan/2016 a mar/2016 a jul/2017 a set/2017
Data;jan/2016 a mar/2016;abr/2016 a jun/2016;jul/2016 a set/2016;out/2016 a dez/2016;jan/2017 a mar/2017;abr/2017 a jun/2017;jul/2017 a set/2017;
29/09/2017; ; ; ; ; ; ;1,00;
02/10/2017; ; ; ; ; ; ;1,02;
03/10/2017; ; ; ; ; ; ;1,01;
04/10/2017; ; ; ; ; ; ;1,00;
05/10/2017; ; ; ; ; ; ;0,99;
06/10/2017; ; ; ; ; ; ;0,99;
09/10/2017; ; ; ; ; ; ;1,00;
10/10/2017; ; ; ; ; ; ;1,02;
11/10/2017; ; ; ; ; ; ;1,02;
13/10/2017; ; ; ; ; ; ;1,01;
16/10/2017; ; ; ; ; ; ;1,01;
17/10/2017; ; ; ; ; ; ;1,01;
18/10/2017; ; ; ; ; ; ;1,02;
19/10/2017; ; ; ; ; ; ;1,03;
20/10/2017; ; ; ; ; ; ;1,04;
23/10/2017; ; ; ; ; ; ;1,06;
24/10/2017; ; ; ; ; ; ;1,05;
25/10/2017; ; ; ; ; ; ;1,05;
26/10/2017; ; ; ; ; ; ;1,05;
27/10/2017; ; ; ; ; ; ;1,05;
30/10/2017; ; ; ; ; ; ;1,05;
31/10/2017; ; ; ; ; ; ;1,04;
01/11/2017; ; ; ; ; ; ;1,04;
03/11/2017; ; ; ; ; ; ;1,03;
06/11/2017; ; ; ; ; ; ;1,07;
07/11/2017; ; ; ; ; ; ;1,06;
08/11/2017; ; ; ; ; ; ;1,06;
09/11/2017; ; ; ; ; ; ;1,06;
10/11/2017; ; ; ; ; ; ;1,06;
13/11/2017; ; ; ; ; ; ;1,07;
14/11/2017; ; ; ; ; ; ;1,08;
16/11/2017; ; ; ; ; ; ;1,08;
17/11/2017; ; ; ; ; ; ;1,06;
20/11/2017; ; ; ; ; ; ;1,06;
21/11/2017; ; ; ; ; ; ;1,07;
22/11/2017; ; ; ; ; ; ;1,08;
23/11/2017; ; ; ; ; ; ;1,07;
24/11/2017; ; ; ; ; ; ;1,07;
27/11/2017; ; ; ; ; ; ;1,06;
28/11/2017; ; ; ; ; ; ;1,07;
29/11/2017; ; ; ; ; ; ;1,07;
30/11/2017; ; ; ; ; ; ;1,07;
Observações:
— Variação percentual contra igual período do ano anterior
— O PIB Total é projetado a preços de mercado; os PIBs Setoriais são projetados a valor adicionado.
